,Address,City,Bed,LotSz,SqFt,Year,DOM_CDOM,DayofWkListed,MonthListed,YearListed,Date,OrigPrice,ListPrice,SellingPrice,total_baths,full_baths,three_q_baths,half_baths,q_baths,lat,lon
164,1005 Evergreen Ave ,Storm Lake,4,11231,1290,2012,82/82,5,9,2016,9/9/2016,224000,224000,213000,3,2,1,0,0,42.6495685,-95.1868502
165,716 Winthrop Cir ,Storm Lake,3,23800,1590,1968,26/26,3,8,2016,8/31/2016,239000,239000,229500,3,3,0,0,0,42.6314762133135,-95.2367464717275
166,2904 Alvin Place ,Storm Lake,3,11135,1288,1966,16/16,2,9,2016,9/6/2016,152900,152900,152900,2,2,0,0,0,42.6287715280115,-95.2387357352736
167,609 E 12th St ,Storm Lake,3,10639,1542,1998,17/17,2,9,2016,9/27/2016,159900,159900,159900,3,3,0,0,0,42.654395,-95.191276
169,917 Angier Dr ,Storm Lake,4,13044,2876,1977,366/366,3,11,2016,11/23/2016,249000,199000,185000,4,3,0,1,0,42.6480818928942,-95.2245991616807
170,704 Prairie Ln ,Storm Lake,4,14360,1408,2007,162/162,3,11,2016,11/9/2016,199500,189900,186000,3,3,0,0,0,42.6318155498267,-95.2441509133632
171,1401 Shoreway Rd ,Storm Lake,3,10878,1841,1965,267/267,5,3,2017,3/24/2017,227000,200000,195000,2,1,1,0,0,42.643238,-95.2245329
173,709 Emerald Dr ,Storm Lake,3,11700,1520,1964,93/93,5,11,2016,11/18/2016,172900,165900,164000,3,3,0,0,0,42.6333137851066,-95.2381377658073
174,512 Swallum Dr ,Storm Lake,4,9990,2272,1983,239/239,5,5,2017,5/5/2017,234900,234900,215000,3,3,0,0,0,42.6430029189091,-95.218457
175,1601 Lochedem Dr ,Storm Lake,4,10265,1720,1956,41/41,4,10,2016,10/27/2016,149500,149500,150000,2,1,1,0,0,42.646435,-95.222631
176,905 N Walnut St ,Storm Lake,5,9004,2188,1968,77/77,3,11,2016,11/30/2016,165000,165000,165000,3,2,0,1,0,42.64897002253,-95.1879172590506
177,604 Renshaw Dr ,Storm Lake,4,9119,1969,1975,38/38,4,11,2016,11/17/2016,152500,152500,153500,2,1,1,0,0,42.6444677142857,-95.2282045918367
178,701 Clover Ln ,Storm Lake,4,17780,1939,1996,51/51,2,1,2017,1/3/2017,265000,265000,252000,3,3,0,0,0,42.630824,-95.241357
179,302 Lake Ave ,Storm Lake,4,13600,2823,1916,83/83,4,3,2017,3/2/2017,190500,190500,188500,4,4,0,0,0,42.6395152856216,-95.2010358578874
180,1604 Violet Lane ,Storm Lake,4,9600,1358,2006,29/29,5,12,2016,12/9/2016,154000,154000,152000,3,3,0,0,0,42.644615,-95.1795465306122
